ticket_id,created_at,channel,customer_id,language,subject,body,product,priority
T000001,2025-11-11T13:41:00,email,CU00719,ar,Order problem,Order delayed and I need update.,shampoo,high
T000002,2025-11-21T19:57:00,webform,CU00434,ar,Complaint,Order delayed and I need update.,gift_box,low
T000003,2025-12-27T03:03:00,call_center,CU00156,en,Order problem,How to use this product and is it safe for sensitive skin?,lipstick,normal
T000004,2025-11-01T07:56:00,email,CU00246,ar,Question,"I received damaged product, what can I do?",gift_box,high
T000005,2025-12-04T10:17:00,whatsapp,CU00733,ar,Order problem,"I received damaged product, what can I do?",foundation,normal
T000006,2025-11-05T01:06:00,webform,CU00924,ar,Complaint,"I received damaged product, what can I do?",perfume,low
T000007,2025-12-07T03:29:00,whatsapp,CU00741,en,Question,Order delayed and I need update.,perfume,high
T000008,2025-11-03T04:16:00,email,CU00359,ar,Question,Promo code not working.,serum,high
T000009,2025-11-18T18:19:00,call_center,CU01113,en,Request,Order delayed and I need update.,shampoo,high
T000010,2025-12-29T16:31:00,email,CU00385,ar,Question,Promo code not working.,gift_box,normal
T000011,2025-12-25T00:35:00,call_center,CU00720,ar,Complaint,I want to refund my last order.,lipstick,high
T000012,2025-12-26T02:43:00,call_center,CU00601,en,Order problem,Order delayed and I need update.,lipstick,high
T000013,2025-12-28T14:01:00,webform,CU00122,en,Request,Order delayed and I need update.,gift_box,low
T000014,2025-12-09T20:06:00,email,CU00510,ar,Complaint,Order delayed and I need update.,lipstick,low
T000015,2025-12-11T23:19:00,email,CU01111,ar,Order problem,"I received damaged product, what can I do?",lipstick,high
T000016,2025-11-04T18:43:00,email,CU01200,ar,Need help,"I received damaged product, what can I do?",gift_box,high
T000017,2025-11-13T03:03:00,whatsapp,CU00942,ar,Need help,Promo code not working.,lipstick,low
T000018,2025-12-08T20:38:00,webform,CU00993,en,Request,Promo code not working.,gift_box,low
T000019,2025-12-01T01:04:00,webform,CU00165,en,Request,Order delayed and I need update.,shampoo,low
T000020,2025-12-30T12:50:00,call_center,CU00571,en,Question,Promo code not working.,shampoo,high
T000021,2025-12-23T18:22:00,whatsapp,CU00489,ar,Complaint,"I received damaged product, what can I do?",perfume,low
T000022,2025-12-18T17:06:00,whatsapp,CU00374,en,Order problem,Promo code not working.,serum,high
T000023,2025-11-02T09:46:00,call_center,CU00649,en,Need help,I want to refund my last order.,lipstick,normal
T000024,2025-11-22T10:11:00,call_center,CU00681,ar,Need help,"I received damaged product, what can I do?",foundation,low
T000025,2025-11-13T19:26:00,webform,CU00433,en,Request,I want to refund my last order.,perfume,low
T000026,2025-12-18T06:14:00,whatsapp,CU00260,ar,Complaint,Promo code not working.,serum,normal
T000027,2025-12-18T08:32:00,webform,CU00582,en,Request,How to use this product and is it safe for sensitive skin?,perfume,high
T000028,2025-12-26T09:02:00,call_center,CU00384,en,Complaint,Order delayed and I need update.,shampoo,low
T000029,2025-12-30T22:46:00,whatsapp,CU00783,en,Need help,"I received damaged product, what can I do?",perfume,normal
T000030,2025-11-25T21:59:00,email,CU00964,ar,Complaint,I want to refund my last order.,shampoo,normal
T000031,2025-12-21T14:48:00,webform,CU00672,ar,Request,How to use this product and is it safe for sensitive skin?,lipstick,high
T000032,2025-12-17T13:27:00,call_center,CU00924,en,Question,How to use this product and is it safe for sensitive skin?,shampoo,high
T000033,2025-11-17T23:11:00,email,CU00228,en,Complaint,"I received damaged product, what can I do?",shampoo,high
T000034,2025-12-11T21:26:00,webform,CU00061,ar,Question,"I received damaged product, what can I do?",foundation,normal
T000035,2025-11-11T03:11:00,whatsapp,CU01109,ar,Need help,How to use this product and is it safe for sensitive skin?,foundation,normal
T000036,2025-12-04T11:16:00,email,CU00384,ar,Question,Order delayed and I need update.,perfume,high
T000037,2025-12-03T08:30:00,webform,CU00615,en,Complaint,Order delayed and I need update.,lipstick,low
T000038,2025-12-20T06:42:00,webform,CU00987,ar,Request,I want to refund my last order.,lipstick,normal
T000039,2025-12-19T18:19:00,email,CU00137,ar,Request,Order delayed and I need update.,gift_box,low
T000040,2025-12-09T15:28:00,whatsapp,CU00156,en,Order problem,How to use this product and is it safe for sensitive skin?,shampoo,normal
T000041,2025-12-13T16:55:00,whatsapp,CU01084,ar,Need help,How to use this product and is it safe for sensitive skin?,perfume,low
T000042,2025-11-30T05:41:00,webform,CU00138,en,Request,Promo code not working.,gift_box,low
T000043,2025-11-29T13:06:00,call_center,CU00800,en,Request,How to use this product and is it safe for sensitive skin?,perfume,high
T000044,2025-12-10T17:39:00,email,CU00239,en,Need help,Order delayed and I need update.,lipstick,high
T000045,2025-12-17T19:35:00,whatsapp,CU00165,ar,Request,I want to refund my last order.,gift_box,normal
T000046,2025-12-03T21:51:00,whatsapp,CU00917,ar,Complaint,Promo code not working.,perfume,low
T000047,2025-11-19T11:26:00,whatsapp,CU00794,en,Order problem,Order delayed and I need update.,serum,high
T000048,2025-11-17T03:27:00,call_center,CU00764,ar,Need help,I want to refund my last order.,serum,normal
T000049,2025-12-26T15:49:00,call_center,CU00357,ar,Question,Order delayed and I need update.,gift_box,low
T000050,2025-11-28T06:06:00,whatsapp,CU00476,en,Request,Promo code not working.,perfume,normal
T000051,2025-12-05T08:51:00,email,CU00461,en,Complaint,How to use this product and is it safe for sensitive skin?,foundation,low
T000052,2025-12-18T01:29:00,call_center,CU00028,ar,Order problem,Promo code not working.,perfume,low
T000053,2025-12-05T01:50:00,webform,CU00135,ar,Request,How to use this product and is it safe for sensitive skin?,serum,low
T000054,2025-12-17T03:39:00,whatsapp,CU01055,ar,Question,Promo code not working.,perfume,high
T000055,2025-12-20T20:37:00,call_center,CU00558,ar,Need help,"I received damaged product, what can I do?",foundation,normal
T000056,2025-11-03T08:14:00,whatsapp,CU00694,ar,Need help,Order delayed and I need update.,perfume,high
T000057,2025-11-24T12:51:00,email,CU00972,en,Complaint,Order delayed and I need update.,gift_box,low
T000058,2025-11-11T21:48:00,webform,CU00786,en,Complaint,"I received damaged product, what can I do?",gift_box,normal
T000059,2025-11-12T00:48:00,email,CU01043,en,Question,How to use this product and is it safe for sensitive skin?,shampoo,normal
T000060,2025-12-08T20:13:00,call_center,CU00722,en,Order problem,Order delayed and I need update.,perfume,low
T000061,2025-12-09T07:47:00,webform,CU01148,en,Order problem,"I received damaged product, what can I do?",foundation,low
T000062,2025-12-01T10:03:00,email,CU00340,ar,Need help,Order delayed and I need update.,serum,low
T000063,2025-11-24T19:21:00,email,CU00142,en,Need help,I want to refund my last order.,perfume,low
T000064,2025-11-24T00:58:00,email,CU00007,en,Complaint,How to use this product and is it safe for sensitive skin?,serum,low
T000065,2025-12-26T19:43:00,whatsapp,CU00929,ar,Request,I want to refund my last order.,serum,low
T000066,2025-12-22T04:49:00,whatsapp,CU00325,ar,Request,How to use this product and is it safe for sensitive skin?,serum,low
T000067,2025-12-05T06:14:00,webform,CU00138,en,Question,"I received damaged product, what can I do?",perfume,normal
T000068,2025-12-25T09:39:00,email,CU00735,ar,Order problem,How to use this product and is it safe for sensitive skin?,serum,high
T000069,2025-12-03T19:53:00,call_center,CU00215,ar,Need help,How to use this product and is it safe for sensitive skin?,serum,high
T000070,2025-11-07T00:31:00,email,CU00486,en,Need help,"I received damaged product, what can I do?",lipstick,low
T000071,2025-12-17T12:21:00,email,CU01134,en,Need help,How to use this product and is it safe for sensitive skin?,foundation,low
T000072,2025-12-05T08:45:00,webform,CU00527,ar,Request,Order delayed and I need update.,lipstick,high
T000073,2025-12-10T04:28:00,email,CU00771,en,Question,Promo code not working.,gift_box,high
T000074,2025-12-15T04:58:00,webform,CU01121,ar,Question,"I received damaged product, what can I do?",perfume,low
T000075,2025-11-12T02:02:00,whatsapp,CU00287,ar,Need help,Promo code not working.,gift_box,low
T000076,2025-11-13T02:30:00,webform,CU00583,en,Order problem,"I received damaged product, what can I do?",foundation,low
T000077,2025-12-23T19:49:00,whatsapp,CU00740,en,Complaint,"I received damaged product, what can I do?",perfume,normal
T000078,2025-11-18T18:53:00,webform,CU01047,en,Request,I want to refund my last order.,foundation,low
T000079,2025-11-23T19:57:00,whatsapp,CU01083,en,Order problem,I want to refund my last order.,perfume,low
T000080,2025-12-26T22:00:00,webform,CU01099,en,Complaint,How to use this product and is it safe for sensitive skin?,shampoo,low
T000081,2025-11-13T23:49:00,email,CU01079,ar,Need help,Promo code not working.,lipstick,normal
T000082,2025-12-15T04:57:00,webform,CU00738,en,Complaint,"I received damaged product, what can I do?",shampoo,high
T000083,2025-12-25T10:29:00,email,CU01017,en,Need help,How to use this product and is it safe for sensitive skin?,lipstick,low
T000084,2025-11-15T21:00:00,whatsapp,CU00322,en,Request,Order delayed and I need update.,perfume,high
T000085,2025-11-20T15:41:00,call_center,CU00638,en,Order problem,"I received damaged product, what can I do?",lipstick,high
T000086,2025-11-10T07:30:00,webform,CU00848,en,Need help,Order delayed and I need update.,perfume,normal
T000087,2025-12-01T21:36:00,webform,CU00747,en,Question,How to use this product and is it safe for sensitive skin?,perfume,low
T000088,2025-12-12T03:37:00,email,CU00642,en,Question,I want to refund my last order.,perfume,low
T000089,2025-11-20T23:23:00,call_center,CU00749,en,Question,How to use this product and is it safe for sensitive skin?,perfume,normal
T000090,2025-11-15T23:44:00,email,CU00344,ar,Request,Order delayed and I need update.,perfume,normal
T000091,2025-12-27T05:04:00,call_center,CU01171,en,Question,"I received damaged product, what can I do?",perfume,low
T000092,2025-12-21T09:38:00,webform,CU00610,en,Request,Promo code not working.,shampoo,low
T000093,2025-11-10T22:32:00,call_center,CU00644,en,Complaint,How to use this product and is it safe for sensitive skin?,perfume,normal
T000094,2025-12-23T22:45:00,email,CU00579,ar,Question,"I received damaged product, what can I do?",lipstick,low
T000095,2025-11-15T21:19:00,email,CU01186,en,Order problem,I want to refund my last order.,perfume,normal
T000096,2025-12-18T23:44:00,email,CU01031,ar,Question,I want to refund my last order.,gift_box,high
T000097,2025-12-26T05:03:00,whatsapp,CU00177,ar,Need help,I want to refund my last order.,perfume,low
T000098,2025-12-19T16:12:00,call_center,CU00412,en,Order problem,"I received damaged product, what can I do?",perfume,high
T000099,2025-11-27T15:44:00,webform,CU00228,en,Question,How to use this product and is it safe for sensitive skin?,gift_box,low
T000100,2025-11-27T10:43:00,email,CU00118,ar,Need help,"I received damaged product, what can I do?",lipstick,normal
T000101,2025-11-08T01:57:00,call_center,CU00456,en,Request,"I received damaged product, what can I do?",serum,normal
T000102,2025-11-04T10:51:00,call_center,CU00046,en,Question,Promo code not working.,lipstick,low
T000103,2025-11-02T11:14:00,webform,CU01199,en,Request,Promo code not working.,perfume,normal
